Id_projecte,Nom_projecte,Id_input,Input,Tipus_input,Proveïdor_o_origen,Quantitat,Unitat,Estat,Data_disponibilitat,Nota_traçabilitat,Període_històric
P01,Campus d’Emprenedoria Disruptiva,P01-INX2,Xarxes europees,Xarxes i aliances,Neàpolis / Tandenn,5.2,xarxes,Disponible,2024-06-01,Fictici quan no deriva de font pública,T-1
P02,Network4Work,P02-INX1,Universitats i recerca,Coneixement i recerca aplicada,UE / URBACT,3.4,organitzacions,Disponible,2025-01-01,Fictici quan no deriva de font pública,T-1
P02,Network4Work,P02-INX2,Xarxes europees,Xarxes i aliances,URBACT,5.2,xarxes,Disponible,2025-01-01,Fictici quan no deriva de font pública,T-1
P03,C4TALENT,P03-INX1,Universitats i recerca,Coneixement i recerca aplicada,UE / URBACT,3.4,organitzacions,Disponible,2022-06-01,Fictici quan no deriva de font pública,T-1
P03,C4TALENT,P03-INX2,Xarxes europees,Xarxes i aliances,URBACT,5.2,xarxes,Disponible,2022-06-01,Fictici quan no deriva de font pública,T-1
P01,Campus d’Emprenedoria Disruptiva,I01,Finançament públic,Finançament,SOC / recursos locals,90000.0,EUR,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P01,Campus d’Emprenedoria Disruptiva,I02,Equip tècnic Neàpolis i Tandenn,Recursos humans,Neàpolis / Tandenn,6.0,persones,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P01,Campus d’Emprenedoria Disruptiva,I03,Xarxa de mentors,Mentoria,Ecosistema emprenedor,12.0,mentors,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P01,Campus d’Emprenedoria Disruptiva,I04,Empreses i inversors,Ecosistema,Ecosistema empresarial,18.0,organitzacions,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P01,Campus d’Emprenedoria Disruptiva,I05,Espais i infraestructura,Infraestructura,Neàpolis,1.0,ecosistema,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,I01,Finançament URBACT IV,Finançament,UE / URBACT,538686.8,EUR UE xarxa,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,I02,Socis europeus,Xarxa europea,URBACT,7.0,socis,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,I03,URBACT Local Group,Governança local,Administració-empresa-educació-societat,18.0,agents,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,I04,Local Employment Forum,Coneixement transferible,Nyíregyháza,1.0,metodologia,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,I05,Ecosistema economia blava,Ecosistema,Port-empresa-formació-pesca-recerca,25.0,agents,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,I01,Finançament URBACT IV,Finançament,UE / URBACT,577428.4,EUR UE xarxa,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,I02,Socis europeus,Xarxa europea,URBACT,10.0,socis,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,I03,URBACT Local Group,Governança local,Ecosistema talent-empresa,22.0,agents,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,I04,"Coworking, incubació i ciutat testbed",Infraestructura,Neàpolis / ciutat,3.0,tipologies,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,I05,Aprenentatge transnacional,Coneixement,Xarxa C4TALENT,6.0,trobades,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
P01,Campus d’Emprenedoria Disruptiva,P01-INX1,Universitats i recerca,Coneixement i recerca aplicada,SOC / recursos locals,4.0,organitzacions,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P01,Campus d’Emprenedoria Disruptiva,P01-INX2,Xarxes europees,Xarxes i aliances,Neàpolis / Tandenn,6.0,xarxes,Disponible,2025-06-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,P02-INX1,Universitats i recerca,Coneixement i recerca aplicada,UE / URBACT,4.0,organitzacions,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P02,Network4Work,P02-INX2,Xarxes europees,Xarxes i aliances,URBACT,6.0,xarxes,Disponible,2026-01-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,P03-INX1,Universitats i recerca,Coneixement i recerca aplicada,UE / URBACT,4.0,organitzacions,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
P03,C4TALENT,P03-INX2,Xarxes europees,Xarxes i aliances,URBACT,6.0,xarxes,Disponible,2023-06-01,Fictici quan no deriva de font pública,Actual
